,output
1231,0
1232,0
1233,0
1234,1
1235,1
1236,0
1237,0
1238,1
1239,0
1240,0
1241,1
1242,1
1243,0
1244,1
1245,1
1246,1
1247,1
1248,0
1249,0
1250,1
1251,0
1252,1
1253,1
1254,0
1255,1
1256,0
1257,1
1258,0
1259,0
1260,0
1261,1
1262,1
1263,0
1264,0
1265,0
1266,0
1267,1
1268,0
1269,1
1270,1
1271,0
1272,1
1273,1
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,1
1284,0
1285,0
1286,1
1287,0
1288,0
1289,1
1290,1
1291,0
1292,1
1293,0
1294,1
1295,1
1296,0
1297,0
1298,1
1299,0
1300,0
1301,0
1302,1
1303,1
1304,1
1305,1
1306,1
1307,0
1308,0
1309,1
1310,1
1311,1
1312,0
1313,0
1314,1
1315,0
1316,0
1317,1
1318,1
1319,0
1320,1
1321,0
1322,0
1323,0
1324,0
1325,1
1326,1
1327,0
1328,0
1329,0
1330,0
1331,1
1332,0
1333,1
1334,0
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,0
1343,0
1344,0
1345,1
1346,1
1347,0
1348,0
1349,0
1350,0
1351,0
1352,1
1353,0
1354,1
1355,0
1356,1
1357,1
1358,1
1359,0
1360,1
1361,0
1362,0
1363,0
1364,0
1365,1
1366,1
1367,1
1368,0
1369,0
1370,1
1371,0
1372,1
1373,0
1374,0
1375,1
1376,0
1377,1
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,1
1388,0
1389,0
1390,1
1391,0
1392,0
1393,0
1394,0
1395,1
1396,0
1397,1
1398,1
1399,0
1400,1
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,1
1409,0
1410,0
1411,1
1412,1
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,1
1421,1
1422,0
1423,0
1424,1
1425,1
1426,1
1427,0
1428,0
1429,1
1430,0
1431,1
1432,1
1433,0
1434,0
1435,1
1436,1
1437,0
1438,0
1439,0
1440,1
1441,0
1442,1
1443,1
1444,0
1445,1
1446,1
1447,1
1448,1
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,1
1456,0
1457,1
1458,0
1459,0
1460,0
1461,0
1462,1
1463,0
1464,1
1465,0
1466,0
1467,0
1468,1
1469,0
1470,0
1471,0
1472,0
1473,1
1474,0
1475,1
1476,1
1477,1
1478,1
1479,0
1480,0
1481,1
1482,0
1483,0
1484,1
1485,0
1486,1
1487,0
1488,0
1489,1
1490,0
1491,0
1492,0
1493,1
1494,0
1495,1
1496,0
1497,0
1498,0
1499,1
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,1
1507,1
1508,0
1509,0
1510,1
1511,0
1512,0
1513,0
1514,0
1515,1
1516,0
1517,0
1518,1
1519,1
1520,0
1521,0
1522,1
1523,0
1524,1
1525,1
1526,0
1527,1
1528,1
1529,0
1530,1
1531,1
1532,1
1533,0
1534,0
1535,0
1536,1
1537,1
1538,1
1539,0
1540,1
1541,0
1542,0
1543,1
1544,1
1545,1
1546,1
1547,1
1548,1
1549,1
1550,1
1551,0
1552,1
1553,0
1554,1
1555,0
1556,1
1557,1
1558,1
1559,1
1560,1
1561,0
1562,0
1563,0
1564,1
1565,0
1566,0
1567,0
1568,0
1569,0
1570,1
1571,1
1572,0
1573,0
1574,1
1575,1
1576,1
1577,1
1578,1
1579,1
1580,0
1581,0
1582,0
1583,0
1584,0
1585,1
1586,1
1587,1
1588,1
1589,1
1590,1
1591,1
1592,1
1593,1
1594,0
1595,1
1596,0
1597,1
1598,1
1599,1
1600,1
1601,0
1602,1
1603,1
1604,1
1605,0
1606,0
1607,1
1608,0
1609,0
1610,1
1611,1
1612,1
1613,1
1614,0
1615,1
1616,0
1617,1
1618,0
1619,0
1620,1
1621,1
1622,1
1623,0
1624,1
1625,1
1626,0
1627,0
1628,1
1629,0
1630,1
1631,0
1632,0
1633,1
1634,0
1635,1
1636,1
1637,0
1638,1
1639,0
1640,1
1641,1
1642,1
1643,1
1644,0
1645,1
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,1
1653,1
1654,1
1655,0
1656,1
1657,1
1658,0
1659,0
1660,0
1661,1
1662,1
1663,0
1664,0
1665,0
1666,0
1667,0
1668,1
1669,0
1670,0
1671,1
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,1
1679,0
1680,0
1681,0
1682,0
1683,0
1684,1
1685,0
1686,0
1687,1
1688,1
1689,1
1690,1
1691,0
1692,1
1693,1
1694,0
1695,1
1696,1
1697,0
1698,1
1699,0
1700,1
1701,0
1702,0
1703,1
1704,0
1705,0
1706,1
1707,0
1708,1
1709,1
1710,1
1711,0
1712,0
1713,1
1714,1
1715,0
1716,0
1717,0
1718,1
1719,1
1720,1
1721,0
1722,1
1723,1
1724,1
1725,1
1726,0
1727,0
1728,0
1729,1
1730,1
1731,1
1732,1
1733,1
1734,1
1735,1
1736,1
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,1
1744,0
1745,0
1746,1
1747,1
1748,0
1749,0
1750,0
1751,0
1752,1
1753,0
1754,1
1755,0
1756,0
1757,1
1758,0
1759,0
1760,0
1761,0
1762,1
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,1
1770,0
1771,1
1772,0
1773,1
1774,1
1775,1
1776,0
1777,1
1778,1
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,1
1786,0
1787,0
1788,0
1789,1
1790,0
1791,1
1792,0
1793,0
1794,0
1795,1
1796,0
1797,0
1798,0
1799,1
1800,1
1801,0
1802,1
1803,0
1804,0
1805,0
1806,0
1807,1
1808,1
1809,0
1810,1
1811,0
1812,1
1813,1
1814,1
1815,0
1816,0
1817,1
1818,1
1819,0
1820,0
1821,1
1822,1
1823,0
1824,1
1825,0
1826,1
1827,1
1828,1
1829,0
1830,1
1831,1
1832,1
1833,0
1834,1
1835,0
1836,1
1837,1
1838,0
1839,1
1840,1
1841,1
1842,0
1843,1
1844,0
1845,0
1846,1
1847,1
1848,0
1849,1
1850,0
1851,1
1852,0
1853,1
1854,0
1855,1
1856,1
1857,1
1858,0
1859,0
1860,0
1861,0
1862,0
1863,1
1864,0
1865,1
1866,1
1867,0
1868,1
1869,1
1870,1
1871,1
1872,0
1873,0
1874,1
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,1
1882,0
1883,0
1884,0
1885,1
1886,0
1887,1
1888,0
1889,1
1890,0
1891,0
1892,0
1893,0
1894,1
1895,0
1896,1
1897,1
1898,1
1899,0
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,0
1907,0
1908,0
1909,0
1910,1
1911,1
1912,1
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,1
1920,1
1921,0
1922,1
1923,1
1924,1
1925,1
1926,1
1927,0
1928,1
1929,1
1930,0
1931,1
1932,1
1933,1
1934,0
1935,1
1936,0
1937,1
1938,0
1939,1
1940,1
1941,1
1942,1
1943,0
1944,1
1945,1
1946,0
1947,1
1948,1
1949,0
1950,1
1951,0
1952,1
1953,1
1954,0
1955,0
1956,0
1957,0
1958,1
1959,1
1960,0
1961,1
1962,1
1963,1
1964,0
1965,0
1966,1
1967,1
1968,1
1969,1
1970,0
1971,1
1972,1
1973,1
1974,1
1975,0
1976,1
1977,0
1978,1
1979,1
1980,0
1981,1
1982,0
1983,1
1984,0
1985,0
1986,0
1987,0
1988,1
1989,0
1990,1
1991,1
1992,0
1993,0
1994,1
1995,0
1996,0
1997,0
1998,0
1999,1
2000,0
2001,0
2002,1
2003,1
2004,0
2005,0
2006,1
2007,1
2008,0
2009,1
2010,0
2011,1
2012,0
2013,1
2014,1
2015,0
2016,1
2017,0
2018,1
2019,1
2020,1
2021,1
2022,1
2023,0
2024,1
2025,1
2026,1
2027,0
2028,1
2029,1
2030,0
2031,1
2032,0
2033,0
2034,1
2035,0
2036,0
2037,0
2038,0
2039,1
2040,1
2041,1
2042,1
2043,0
2044,1
2045,0
2046,0
2047,1
2048,1
2049,0
2050,0
2051,1
2052,0
2053,1
2054,0
2055,1
2056,1
2057,0
2058,0
2059,1
2060,0
2061,0
2062,1
2063,1
2064,1
2065,0
2066,1
2067,0
2068,1
2069,0
2070,1
2071,1
2072,1
2073,1
2074,1
2075,0
2076,1
2077,1
2078,0
2079,0
2080,0
2081,0
2082,1
2083,1
2084,1
2085,1
2086,0
2087,1
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,1
2096,1
2097,1
2098,1
2099,0
2100,1
2101,0
2102,1
2103,1
2104,1
2105,1
2106,1
2107,1
2108,0
2109,1
2110,0
2111,0
2112,0
2113,1
2114,1
2115,1
2116,1
2117,0
2118,1
2119,1
2120,1
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,1
2128,0
2129,0
2130,1
2131,0
2132,1
2133,0
2134,0
2135,0
2136,1
2137,1
2138,1
2139,0
2140,0
2141,0
2142,1
2143,0
2144,1
2145,1
2146,1
2147,0
2148,1
2149,0
2150,0
2151,0
2152,0
2153,1
2154,1
2155,0
2156,1
2157,1
2158,0
2159,0
2160,0
2161,1
2162,1
2163,0
2164,1
2165,1
2166,1
2167,0
2168,0
2169,1
2170,0
2171,0
2172,1
2173,1
2174,1
2175,0
2176,1
2177,1
2178,0
2179,0
2180,0
2181,1
2182,1
2183,1
2184,1
2185,0
2186,1
2187,0
2188,0
2189,0
2190,1
2191,0
2192,0
2193,1
2194,0
2195,0
2196,1
2197,1
2198,1
2199,0
2200,1
2201,0
2202,1
2203,1
2204,1
2205,1
2206,0
2207,1
2208,1
2209,0
2210,1
2211,1
2212,1
2213,1
2214,1
2215,0
2216,0
2217,1
2218,1
2219,0
2220,1
2221,1
2222,0
2223,0
2224,0
2225,1
2226,1
2227,0
2228,1
2229,1
2230,0
2231,0
2232,0
2233,0
2234,1
2235,0
2236,0
2237,0
2238,1
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,1
2247,0
2248,1
2249,1
2250,0
2251,0
2252,0
2253,0
2254,1
2255,1
2256,1
2257,1
2258,0
2259,1
2260,0
2261,1
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,1
2269,0
2270,1
2271,1
2272,0
2273,1
2274,1
2275,0
2276,1
2277,0
2278,0
2279,1
2280,1
2281,1
2282,1
2283,0
2284,1
2285,0
2286,0
2287,1
2288,0
2289,1
2290,0
2291,0
2292,1
2293,0
2294,1
2295,0
2296,0
2297,0
2298,0
2299,1
2300,1
2301,0
2302,0
2303,1
2304,1
2305,1
2306,0
2307,1
2308,1
2309,0
2310,1
2311,1
2312,1
2313,0
2314,1
2315,0
2316,0
2317,1
2318,0
2319,0
2320,1
2321,0
2322,1
2323,0
2324,0
2325,1
2326,0
2327,0
2328,1
2329,1
2330,1
2331,1
2332,0
2333,0
2334,1
2335,1
2336,1
2337,0
2338,0
2339,0
2340,1
2341,1
2342,1
2343,0
2344,1
2345,0
2346,1
2347,1
2348,1
2349,0
2350,0
2351,1
2352,1
2353,1
2354,1
2355,0
2356,1
2357,0
2358,1
2359,0
2360,0
2361,0
2362,1
2363,1
2364,1
2365,0
2366,0
2367,1
2368,1
2369,1
2370,1
2371,0
2372,1
2373,1
2374,1
2375,1
2376,1
2377,1
2378,0
2379,0
2380,1
2381,0
2382,1
2383,1
2384,0
2385,1
2386,1
2387,0
2388,1
2389,0
2390,0
2391,1
2392,1
2393,0
2394,1
2395,0
2396,0
2397,0
2398,1
2399,1
2400,0
2401,0
2402,1
2403,0
2404,0
2405,1
2406,1
2407,0
2408,0
2409,0
2410,0
2411,1
2412,1
2413,0
2414,1
2415,1
2416,0
2417,0
2418,0
2419,0
2420,1
2421,1
2422,0
2423,1
2424,1
2425,0
2426,0
2427,1
2428,0
2429,1
2430,1
2431,0
2432,1
2433,1
2434,1
2435,1
2436,1
2437,0
2438,1
2439,1
2440,1
2441,0
2442,0
2443,1
2444,1
2445,0
2446,1
2447,1
2448,1
2449,0
2450,1
2451,1
2452,1
2453,1
2454,1
2455,1
2456,0
2457,1
2458,0
2459,0
2460,1
2461,0
2462,1
2463,0
2464,0
2465,1
2466,0
2467,1
2468,0
2469,0
2470,1
2471,0
2472,0
2473,1
2474,1
2475,0
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,0
2487,0
2488,0
2489,0
2490,1
2491,1
2492,1
2493,1
2494,1
2495,1
2496,0
2497,1
2498,1
2499,1
2500,1
2501,1
2502,1
2503,0
2504,1
2505,1
2506,1
2507,1
2508,0
2509,1
2510,1
2511,0
2512,1
2513,1
2514,0
2515,0
2516,1
2517,1
2518,1
2519,0
2520,0
2521,1
2522,0
2523,1
2524,1
2525,0
2526,0
2527,1
2528,1
2529,0
2530,0
2531,0
2532,0
2533,0
2534,0
2535,0
2536,0
2537,1
2538,1
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,1
2546,1
2547,0
2548,1
2549,0
2550,1
2551,0
2552,1
2553,1
2554,1
2555,1
2556,0
2557,1
2558,0
2559,0
2560,0
2561,1
2562,0
2563,0
2564,0
2565,0
2566,1
2567,0
2568,0
2569,0
2570,1
2571,0
2572,1
2573,1
2574,0
2575,1
2576,1
2577,1
2578,1
2579,1
2580,0
2581,0
2582,0
2583,1
2584,0
2585,0
2586,1
2587,0
2588,1
2589,0
2590,0
2591,1
2592,1
2593,1
2594,0
2595,0
2596,0
2597,1
2598,0
2599,1
2600,1
2601,0
2602,1
2603,1
2604,0
2605,0
2606,0
2607,0
2608,1
2609,0
2610,1
2611,1
2612,0
2613,1
2614,1
2615,1
2616,1
2617,1
2618,0
2619,1
2620,1
2621,1
2622,1
2623,1
2624,0
2625,1
2626,0
2627,0
2628,0
2629,0
2630,1
2631,0
2632,1
2633,0
2634,0
2635,1
2636,0
2637,1
2638,0
2639,0
2640,1
2641,0
2642,0
2643,0
2644,0
2645,0
2646,0
2647,0
2648,1
2649,0
2650,1
2651,0
2652,0
2653,0
2654,0
2655,0
2656,0
2657,0
2658,1
2659,1
2660,0
2661,1
2662,0
2663,0
2664,0
2665,0
2666,0
2667,1
2668,1
2669,0
2670,1
2671,0
2672,0
2673,0
2674,0
2675,0
2676,1
2677,0
2678,0
2679,0
2680,0
2681,1
2682,0
2683,0
2684,0
2685,0
2686,1
2687,0
2688,1
2689,1
2690,1
2691,1
2692,0
2693,0
2694,0
2695,0
2696,0
2697,1
2698,1
2699,1
2700,1
2701,0
2702,1
2703,0
2704,0
2705,1
2706,0
2707,1
2708,1
2709,0
2710,0
2711,0
2712,0
2713,0
2714,1
2715,1
2716,0
2717,0
2718,0
2719,0
2720,0
2721,1
2722,0
2723,0
2724,1
2725,0
2726,1
2727,0
2728,0
2729,1
2730,0
2731,1
2732,1
2733,0
2734,1
2735,0
2736,0
2737,0
2738,0
2739,1
2740,0
2741,0
2742,1
2743,0
2744,0
2745,0
2746,0
2747,1
2748,1
2749,0
2750,0
2751,1
2752,1
2753,1
2754,1
2755,1
2756,1
2757,0
2758,0
2759,1
2760,1
2761,1
2762,1
2763,1
2764,0
2765,0
2766,0
2767,1
2768,0
2769,0
2770,0
2771,1
2772,1
2773,0
2774,1
2775,1
2776,1
2777,0
2778,1
2779,1
2780,0
2781,1
2782,0
2783,0
2784,1
2785,0
2786,0
2787,0
2788,1
2789,1
2790,0
2791,1
2792,1
2793,1
2794,0
2795,0
2796,1
2797,0
2798,1
2799,0
2800,1
2801,0
2802,0
2803,1
2804,1
2805,1
2806,1
2807,1
2808,1
2809,0
2810,1
2811,0
2812,0
2813,0
2814,0
2815,0
2816,1
2817,1
2818,0
2819,1
2820,1
2821,0
2822,0
2823,0
2824,0
2825,1
2826,1
2827,1
2828,0
2829,1
2830,1
2831,0
2832,1
2833,1
2834,1
2835,1
2836,0
2837,0
2838,1
2839,1
2840,1
2841,1
2842,0
2843,0
2844,1
2845,1
2846,0
2847,1
2848,0
2849,0
2850,1
2851,1
2852,0
2853,1
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,0
2861,0
2862,1
2863,0
2864,0
2865,1
2866,1
2867,0
2868,0
2869,1
2870,0
2871,0
2872,1
2873,1
2874,0
2875,1
2876,1
2877,0
2878,1
2879,1
2880,0
2881,0
2882,1
2883,1
2884,1
2885,0
2886,0
2887,0
2888,0
2889,0
2890,0
2891,0
2892,1
2893,1
2894,1
2895,0
2896,0
2897,0
2898,0
2899,0
2900,0
2901,1
2902,0
2903,0
2904,1
2905,1
2906,0
2907,0
2908,0
2909,1
2910,0
2911,0
2912,1
2913,1
2914,0
2915,1
2916,1
2917,0
2918,0
2919,0
2920,0
2921,0
2922,0
2923,1
2924,1
2925,1
2926,1
2927,0
2928,0
2929,0
2930,1
2931,1
2932,1
2933,1
2934,1
2935,1
2936,0
2937,0
2938,0
2939,0
2940,0
2941,1
2942,0
2943,1
2944,1
2945,1
2946,0
2947,0
2948,1
2949,1
2950,0
2951,1
2952,1
2953,1
2954,1
2955,1
2956,0
2957,1
2958,0
2959,0
2960,1
2961,1
2962,0
2963,0
2964,0
2965,1
2966,1
2967,0
2968,1
2969,0
2970,1
2971,0
2972,0
2973,0
2974,1
2975,1
2976,1
2977,0
2978,1
2979,1
2980,1
2981,0
2982,1
2983,0
2984,1
2985,1
2986,0
2987,1
2988,1
2989,0
2990,1
2991,1
2992,0
2993,1
2994,1
2995,0
2996,1
2997,0
